peopleNum,positionType,positionlink,positionname,publishTime,workLocation
1,产品/项目类,position_detail.php?id=43653&keywords=&tid=0&lid=0,WXG04-212 微信游戏产品策划（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43656&keywords=&tid=0&lid=0,18425-基础支付资金管理产品策划经理,2018-08-29,深圳
1,技术类,position_detail.php?id=43703&keywords=&tid=0&lid=0,21229-WEB前端开发工程师（上海）,2018-08-29,上海
1,产品/项目类,position_detail.php?id=43704&keywords=&tid=0&lid=0,25663-腾讯云区块链高级产品经理（北京）,2018-08-29,北京
2,产品/项目类,position_detail.php?id=43695&keywords=&tid=0&lid=0,27730-短视频平台高级产品经理（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43697&keywords=&tid=0&lid=0,28605-211 海外支付产品运营经理（深圳）,2018-08-29,深圳
1,产品/项目类,position_detail.php?id=43686&keywords=&tid=0&lid=0,22851-腾讯视频娱乐中心项目经理（北京）,2018-08-29,北京
1,内容编辑类,position_detail.php?id=43687&keywords=&tid=0&lid=0,22851-腾讯视频娱乐记者（北京）,2018-08-29,北京
1,技术类,position_detail.php?id=43679&keywords=&tid=0&lid=0,TEG13-数据挖掘算法工程师（深圳）,2018-08-29,深圳
1,职能类,position_detail.php?id=43680&keywords=&tid=0&lid=0,21529-QQ音乐法务（深圳）,2018-08-29,深圳
2,技术类,position_detail.php?id=43682&keywords=&tid=0&lid=0,SNG08-企鹅FM+微视iOS开发工程师（深圳）,2018-08-29,深圳
1,设计类,position_detail.php?id=43683&keywords=&tid=0&lid=0,GY0-高级品牌视觉设计师（深圳）,2018-08-29,深圳
